IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,Material_Type
839082,2909469,5669901,8400670,8381108,8400670,5021243,3877289,ALU
1310307,3242853,6996533,8393984,8380872,8393984,5257359,3821826,ALU
1238574,3178179,6878122,8396642,8396642,8396642,5276868,3838625,ALU
1536253,2926425,6251350,8388976,8388976,8388976,6928687,3833344,ALU
1266797,3169769,6843232,8394729,8394729,8394729,5313088,3837534,ALU
1550767,3025946,6415866,8387992,8387992,8387992,6894494,3875318,ALU
1491580,2933968,6222206,8390567,8386362,8389862,6904501,3882049,ALU
1566904,3596675,7601638,8387391,8395385,8385973,5438843,3787601,ALU
1511504,2948056,6299327,8379871,8398196,8378261,6960305,3863064,ALU
1606333,3433866,6719022,8372297,8377405,8385351,4928907,6529659,ALU
772884,2794613,5524763,8393871,8403090,8375583,4912040,3555561,ALU
1280796,3184862,6934500,8394773,8394773,8394773,5321894,3835738,ALU
1624457,3042285,6521918,8388415,8388415,8388415,7107700,3973533,ALU
856567,2842417,5568375,8391197,8394166,8390840,4993339,3523284,ALU
1533146,2998042,6331122,8389680,8373921,8389680,7006127,3951941,ALU
1279000,3169676,6932370,8390380,8394903,8389741,5335541,3836673,ALU
1520122,2967460,6323077,8381785,8395388,8380589,6972460,3872084,ALU
1287215,3216666,6947413,8393188,8394937,8392941,5322749,3835899,ALU
1488710,3369276,6809593,8368563,8385350,8385350,4857022,7299653,ALU
1266034,3184310,6813035,8395160,8395160,8395160,5298260,3837393,ALU
1530935,2937067,6357544,8378696,8396932,8396932,7124154,3994964,ALU
1331849,3274606,6953682,8393706,8371812,8393603,5344814,3826930,ALU
1529059,2940172,6247293,8389640,8379723,8389640,7002015,3897709,ALU
893811,2774496,5519219,8378353,8402670,8380662,5060239,3463439,ALU
1587944,2990317,6450768,8383331,8392746,8392746,7176453,4006440,ALU
832572,2908713,5616303,8401595,8381261,8401595,4938125,3705460,ALU
848225,2860843,5568841,8394336,8390739,8394079,4958044,3532414,ALU
852640,2853153,5609056,8393176,8389260,8392805,5036066,3721422,ALU
1599377,3639401,7675761,8382157,8395655,8379763,5448547,3770289,ALU
862975,2809817,5562328,8387400,8396027,8386741,5048708,3600845,ALU
829136,2901322,5629348,8401369,8397072,8401369,4945123,3624609,ALU
832008,2896664,5569746,8400438,8384078,8400375,4889428,3550164,ALU
1291012,3217426,6959310,8378365,8395541,8375939,5363124,3838808,ALU
1669604,3439684,6597412,8389966,8370821,8389966,5234123,3837328,ALU
812461,2743866,5505556,8383405,8403764,8367237,5013259,3520495,ALU
1333946,3241019,6792097,8386334,8391734,8391734,5160250,4952134,ALU
1443866,3443352,7319332,8395810,8388186,8383208,5393798,3773842,ALU
1469204,3490907,7406413,8395547,8382276,8395547,5374946,3800013,ALU
1537816,3561303,7542230,8395573,8391105,8395573,5418410,3791198,ALU
1600290,3640352,7677153,8381444,8395654,8378923,5448609,3771630,ALU
1349535,3235362,6849574,8382049,8390424,8390424,4990118,5559691,ALU
868869,2739791,5469187,8369563,8404075,8360695,4975495,3441258,ALU
1550205,3025698,6413513,8387925,8387925,8387925,6905412,3877517,ALU
838726,2909986,5670679,8400716,8382212,8400716,5024057,3877200,ALU
1228033,3165890,6865221,8396868,8396868,8396868,5258997,3838400,ALU
1531177,2998422,6323550,8389209,8374430,8389209,7058773,3959179,ALU
1310275,3246114,7001509,8393791,8376714,8393791,5261632,3825621,ALU
826508,2902326,5601782,8401860,8394796,8401860,4904993,3556006,ALU
852313,2774964,5543013,8383234,8403286,8376520,5056332,3507916,ALU
1572738,3031954,6461676,8388705,8388705,8388705,6842860,3877529,ALU
1595666,3635532,7670098,8385060,8395655,8383181,5448293,3764832,ALU
1527558,2979311,6362209,8383160,8392016,8392016,7013780,3926377,ALU
1604112,3656207,7746170,8381372,8395389,8379468,5456834,3760810,ALU
1287967,3216816,6949769,8390253,8395056,8389575,5330743,3836475,ALU
1266232,3152349,6539851,8389622,8389622,8389622,5014050,6578459,ALU
1609637,3654992,7717476,8375336,8395543,8371992,5452533,3778592,ALU
1531125,3001511,6346922,8390112,8385214,8390112,6941685,3891186,ALU
1511557,2949341,6298550,8379949,8397892,8378372,6973814,3866317,ALU
1316637,2806885,5961063,8398368,8398368,8398368,6878208,3890543,ALU
1535173,3355399,6708020,8392260,8379806,8392260,5249538,3835722,ALU
1341680,2818011,5990504,8397324,8397324,8397324,6882955,3882397,ALU
1703292,3650646,7733483,8372194,8394485,8390187,5061663,3603266,ALU
826684,2906853,5577728,8402285,8385035,8402285,4876308,3555948,ALU
1610743,3659513,7737089,8375299,8395468,8372127,5454868,3775555,ALU
1552664,3578757,7571401,8391547,8395292,8390882,5435278,3789191,ALU
1544155,3017740,6394494,8386903,8388190,8388190,6974832,3895426,ALU
1315514,3251923,7009268,8393627,8374103,8393603,5271324,3828268,ALU
1227823,3125725,6879553,8395538,8395538,8395538,5167878,3829353,ALU
1530062,2999984,6343363,8390285,8385057,8390285,6939905,3891254,ALU
816289,2746853,5509154,8383389,8403718,8368129,5017397,3519287,ALU
1599868,3401294,6676601,8390577,8375140,8390577,5228434,3829304,ALU
1438598,3308779,6661418,8371703,8384559,8384559,4792722,8085560,ALU
861533,2839933,5609590,8389782,8402446,8389390,5080180,3635918,ALU
1279424,3211348,6954141,8393969,8393969,8393969,5210438,3810784,ALU
908441,2799978,5560855,8377681,8402999,8381908,5078434,3466205,ALU
1533616,2990615,6307251,8389896,8369579,8389896,7114382,3995588,ALU
