IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,IR_Wavelength_9,IR_Wavelength_10,IR_Wavelength_11,IR_Wavelength_12,IR_Wavelength_13,IR_Wavelength_14,IR_Wavelength_15,Material_Type
297881,514929,1025383,4106387,4027871,3787447,637759,169347,430529,760319,1326659,2223537,2928887,1589885,254997,PET
291257,678025,429789,785359,2548649,1985811,260065,155643,470957,539307,609929,1686121,2233685,1054653,205559,PET
228877,613873,435765,1519275,4449997,4196079,427831,250127,444109,539131,1012959,3405895,4216613,2050097,344223,PET
304463,263179,411733,742513,1155415,1158931,512859,408555,266439,325619,542121,1200937,1427585,863109,456861,PET
295273,501765,921945,1910501,1509469,407289,378135,244641,383605,670553,1425469,1738375,950523,373351,310585,PET
250603,545969,519489,1491033,1255887,1221299,562789,331361,335255,704655,1232367,1498307,1420041,888865,466577,PET
179183,538403,450985,4748115,1975233,1678043,679051,289181,362513,508953,2123609,2998163,1920973,1221289,487275,PET
375693,736587,1313985,3198599,942023,747373,364417,184079,532663,1006669,2243199,2065685,847701,560751,269163,PET
265461,510317,1016125,2227095,1719545,1271383,549563,380467,349061,744741,1683883,1977835,1503981,966339,468823,PET
254975,524701,948035,2143913,1569049,724415,403797,180565,378969,720997,1561323,1851023,1131507,566233,288317,PET
295607,540449,992625,1996435,2003105,772469,361525,188607,372087,744327,1484251,1917701,1316415,582659,280395,PET
312481,528497,859603,1761637,2160761,1108675,357417,165595,383825,702823,1262685,1910013,1657485,743851,264469,PET
131037,521413,808653,1849591,1074863,829721,563831,498059,342035,579003,1300963,1401727,1042595,726747,472265,PET
253625,637491,638315,1330863,1398257,603121,575535,337351,479181,629671,966613,1313179,931087,570287,455693,PET
354749,323831,728689,1683739,1766207,1042283,523579,292451,355053,692411,1345041,1970253,1609139,884077,401323,PET
248647,417545,1322261,2817363,2251773,1426463,669863,290169,310135,837001,1988841,2447601,1850819,992765,368165,PET
412507,662593,1355367,3110885,2548741,2017135,691995,498401,502941,987257,2250423,2814385,2239553,1327037,569345,PET
358661,595041,1012887,2193627,2268877,1713679,621791,431797,458601,760547,1400871,2022913,1920571,1142553,515119,PET
394069,795011,1572011,2067289,1450435,1930517,642807,270991,530971,1045603,1768963,1781291,1782517,1428121,523547,PET
287811,495915,863475,1727155,1133877,813675,838191,395739,346953,626641,1339309,1509775,989769,803617,597393,PET
262603,466533,811135,1557527,1201217,773725,766971,339643,344027,619371,1153405,1359909,996457,783137,555833,PET
266791,482683,863189,1908093,1122183,499763,500581,201719,357787,658449,1388233,1499297,793021,523577,372319,PET
283177,575825,1025379,2210969,1633201,1561515,522753,354337,403563,771743,1521291,1841745,1695101,1205911,493093,PET
299283,481931,821925,1841701,1401825,1047241,739961,290073,378937,617819,1365293,1752437,1265325,859225,496695,PET
233921,336971,867873,2518467,2191567,2119961,667269,542897,265121,626437,1589263,2469675,2319049,1254287,540523,PET
225649,449987,723883,1764741,1898885,2210877,416795,456513,323361,584883,1281655,1957293,2250683,1556223,476305,PET
274287,501309,543919,1258339,1658769,1028973,284213,359159,362147,507503,901655,1451743,1336943,663873,317515,PET
439235,571915,1304553,2648313,1622867,1083013,495615,221861,484261,921809,1953579,2131191,1349703,797697,359505,PET
275477,612395,1513429,3268619,1506411,1375003,488515,262693,433565,971533,2271637,2410197,1496035,906587,370509,PET
300993,570501,998163,2382365,1848579,1255153,610595,341377,414759,801863,1740297,2150297,1699681,1032273,403051,PET
298189,573137,886037,2133567,1857453,1289623,594533,341367,412211,692811,1477763,2048861,1595899,942111,489545,PET
323505,564467,992941,2256955,2078469,1564541,542755,332631,419545,773335,1684539,2216461,1798277,1040129,436313,PET
250461,519581,1014523,3015587,2344711,1356341,495187,301915,375607,745991,2019329,2713147,1870487,935081,400665,PET
255961,527501,953255,2382461,2014975,1049381,521025,398983,365707,736199,1676917,2248445,1584673,748135,427473,PET
330663,593275,1105949,2698751,1948261,1430153,557011,364331,430667,824551,1903393,2321021,1672333,1002559,470595,PET
349037,519067,1076755,2105905,1594347,1109681,445631,407085,418435,786799,1541313,1817881,1410797,860573,445617,PET
341617,553429,1094611,2594995,1820369,1620721,554069,385889,418169,813927,1903049,2291171,1664023,1055967,496113,PET
232599,482227,806345,2550995,2367057,1854385,515571,311953,334947,632027,1696311,2576675,2182357,1151353,415229,PET
223333,363883,643827,1752763,1891199,1330401,567171,544121,273525,490363,1166373,1655011,1432063,916069,554283,PET
160523,205859,270449,1024401,1403519,2798283,443989,163085,177541,230711,672937,1180947,2160417,1729605,285921,PET
74703,186771,254373,2490989,1460049,684627,290789,80507,148721,250351,856349,1401445,1043631,536315,190973,PET
141937,578127,513917,970781,1993331,1421341,444003,213157,330909,551869,749055,1477813,1707473,920455,328649,PET
592397,452129,926523,2581251,1943771,1210029,693147,690295,504499,677759,2150837,2652251,1495357,859415,686391,PET
397281,595599,1035777,1455251,761339,481129,290535,534679,466917,779895,1183865,1045827,622121,391051,397241,PET
138803,244537,638271,2241241,2706935,1840147,443611,349577,180867,406571,1406949,2428699,2209815,1116193,396535,PET
339049,538267,679697,2148763,1135353,1071603,511099,460707,408489,587313,1403197,1643257,1128019,837045,558099,PET
214875,396799,632705,1843763,947253,639469,569321,169525,291033,494005,1214445,1380129,797427,603585,353391,PET
697653,374167,1095843,2643819,2263805,1032947,453177,889365,409115,657029,1739977,2243423,1475261,818831,719967,PET
247735,426501,674869,1473291,1219227,867889,445105,264241,316475,531681,1048449,1332825,1050285,661211,360723,PET
294773,521567,957239,2293963,2332287,1681111,566199,435895,398549,734639,1602429,2285327,2044395,1196923,488775,PET
169709,422449,539379,1063393,4673317,2543161,271495,159505,277823,476983,814537,2642045,3610011,1368213,223191,PET
317925,562871,1056591,2539749,2803013,1846545,549155,376161,432409,809697,1869775,2742193,2353041,1259549,459859,PET
301301,499197,1052437,2299233,1160011,609831,502989,391785,395957,785449,1684479,1772357,1002967,652847,435479,PET
292039,524805,974553,2323077,1674541,1029065,516161,395107,385175,736403,1683733,1917979,1196713,729229,465587,PET
266771,492863,944931,2078133,1577005,1102609,557511,369791,364195,702819,1526701,1835049,1331693,805189,434339,PET
292993,261561,429097,828683,860433,372841,514987,316437,263223,338661,634419,845845,614885,451445,418657,PET
218091,294491,900911,1897093,1605593,1361821,552575,109401,264283,627507,1367169,1685487,1458439,944895,338285,PET
317013,502937,1157267,2393061,1644707,1243041,625815,543515,443439,1024165,2352359,2315037,1535499,865639,505861,PET
205511,406965,747709,2572161,2059409,1928311,490761,393785,284809,565895,1658883,2322209,2033039,1314455,470281,PET
399433,576983,1548457,3628333,2646541,1873133,657607,458127,457697,1007481,2445669,3007517,2203177,1215597,550229,PET
175871,440863,659613,2515325,2597243,2090965,464047,282791,278975,528767,1588151,2483035,2244991,1273999,389487,PET
332537,573115,1316003,2991571,2252209,1785115,628771,508805,436659,933603,2145833,2576381,1960271,1180567,561931,PET
217691,446055,808249,2086385,2257141,1545531,494909,251637,307143,618129,1492409,2205253,1862809,947783,334357,PET
275747,533509,847965,2328765,2124913,1536915,510035,468821,381197,682785,1606273,2184229,1810657,1038355,481149,PET
185379,386371,683813,2829523,3203809,1863945,485547,349761,303167,615759,1959135,3126337,2431029,1102645,431841,PET
251961,415595,960505,2786793,1680057,1111689,486781,327229,314745,617359,1930169,2308409,1326529,809725,441185,PET
352341,586399,796933,1842983,1468465,1055223,743515,511141,444839,671189,1314665,1721075,1341769,907295,631245,PET
240283,655483,1606503,3312721,2615799,2428965,498745,290739,425075,1094279,2454127,3003277,2541469,1462075,397927,PET
329573,589051,1258855,3685047,2771095,2094941,780475,369857,446979,969847,2757055,3439065,2585985,1348663,684155,PET
175903,586043,1227593,3990329,3255371,968757,394551,269889,365117,889457,2446979,3473553,2109255,681691,337277,PET
335957,657333,1458101,3233705,2548131,1786907,469311,294431,480403,1039255,2317347,2819321,2117527,1133303,384417,PET
214075,434219,716563,1525563,1294711,933673,457999,253823,306643,562923,1093477,1405963,1158311,734353,355733,PET
400361,691291,1388971,2112773,1694459,1194313,415645,285375,520109,1002419,1701435,1871849,1433869,805749,352349,PET
240065,458097,874453,1701245,1706563,2108473,656311,484245,333805,647619,1295305,1710177,1906133,1392023,562459,PET
280945,574153,904909,2278869,1580941,1044177,267819,143387,371443,800043,2062111,2288219,1388803,752015,212383,PET
215623,604909,935177,2827465,1197239,1016465,590833,158539,425431,814125,1827477,1851931,1079075,704593,272571,PET
207725,391241,1054149,1231127,2874083,2520273,650159,307655,299309,705869,1149455,2092367,2820101,1693149,493239,PET
213245,379241,692213,2296835,8139423,1903321,797651,685255,269073,482561,1266667,5266169,5045441,1371793,873015,PET
343737,783905,1732061,2421983,2484479,1996593,432135,233931,519255,1199843,1998751,2476075,2308923,1198835,348981,PET
372701,738563,1424999,3721159,1562593,1812171,703559,304193,533133,1054887,2233573,2410253,1815501,1326133,485119,PET
384949,637581,755759,2335475,3008321,1370991,1217285,173533,481237,671469,1179961,1981263,1746213,1122901,643905,PET
154307,372361,666689,1712681,2230689,1161635,390603,188681,251723,494529,1216669,1960731,1721249,893685,329859,PET
154701,380495,593107,1426179,1610349,1018049,380787,208617,268631,496661,1250727,1733843,1345619,760623,307843,PET
229181,488025,760547,2121663,2537015,1822959,518693,330611,340755,582545,1371253,2185941,2102857,1224825,395601,PET
172193,371377,650993,2111035,2104719,1297309,385441,218101,266229,504823,1416857,2120171,1654607,829895,311907,PET
223013,462403,806695,2194703,2122309,1731207,513281,268811,348939,670481,1585661,2212599,1879739,1064341,412203,PET
176039,361365,515541,1775269,2139609,1543653,409533,234485,257367,424791,1115017,1940049,1847341,958701,318387,PET
179945,411955,597039,1937351,1660647,1095771,507731,328575,292285,504883,1258773,1757225,1407811,817541,400149,PET
329033,506447,935857,2467637,2120913,1103089,441385,303643,393649,710999,1809281,2352775,1597611,771035,383479,PET
335983,553615,1230833,2870657,2385823,1441379,612615,432539,428229,877641,2058979,2656727,1944123,1034659,523317,PET
329473,536537,905599,1992453,1715493,1446829,570841,393355,417461,710863,1426633,1739395,1520853,1030185,482107,PET
284637,480767,922917,2226771,1964805,1186697,512835,300917,371617,699799,1599077,2168997,1636905,862695,407063,PET
288931,517387,1075001,2520543,1653347,1273925,519525,303135,395109,754093,1767323,2086257,1455909,893791,415817,PET
1225807,1847961,3278335,4375231,4607069,2639519,1359115,862731,1381687,2420965,3696757,4475321,3714223,2099601,1175063,HDPE
707953,1017465,2224315,3150793,3088295,1587531,871267,535809,813427,1575817,2632341,3225143,2478389,1257777,691655,HDPE
