IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_9,IR_Wavelength_10,Material_Type
1163219,2079241,3387955,1499907,2627905,HDPE
1310299,2191291,3684347,1619119,2820123,HDPE
1312103,2191509,3360819,1665865,2677223,HDPE
1311471,2243991,3520339,1642851,2755459,HDPE
1313205,2215817,3692475,1610059,2828711,HDPE
1413957,2331369,3776879,1729265,2934207,HDPE
1460653,2449645,3907025,1816309,3075381,HDPE
959173,1559203,2708817,1162523,2049035,HDPE
979061,1583081,2724675,1182669,2070233,HDPE
1456477,2436277,3990229,1804167,3091779,HDPE
1489629,2445997,3926949,1824841,3082749,HDPE
1028351,1675991,2845317,1250047,2172349,HDPE
853215,1455923,2608013,1062217,1942839,HDPE
770807,1285581,2553807,948527,1849613,HDPE
877403,1401957,2591713,1054113,1933299,HDPE
998113,1618061,2785529,1211635,2117251,HDPE
1414155,2440155,4318561,1777269,3234799,HDPE
1168449,1797641,3074991,1367049,2338119,HDPE
1013527,1617969,2785391,1214219,2115377,HDPE
1016399,1654235,2907331,1226879,2184265,HDPE
837287,1349691,2683113,1030843,1964063,HDPE
881827,1416735,2826667,1059801,2038039,HDPE
840277,1428715,2794147,1045031,2023425,HDPE
1361873,2259189,3812919,1669629,2906653,HDPE
1475477,2415859,4040721,1801219,3103395,HDPE
1447647,2330885,3761847,1743609,2924449,HDPE
1470367,2437585,4156123,1804439,3166507,HDPE
1605817,2634357,4473893,1957575,3414825,HDPE
1478323,2385445,3940091,1782319,3025083,HDPE
1342529,2262205,3843685,1662651,2927931,HDPE
1288689,2153455,3615357,1585571,2759789,HDPE
1009427,1635441,2881789,1219521,2167895,HDPE
917947,1411663,2773763,1085977,2001615,HDPE
1455109,2405939,4140845,1781917,3138259,HDPE
1411537,2275661,3626329,1706429,2828017,HDPE
1517473,2474317,4271171,1844479,3240429,HDPE
1528999,2555115,4343841,1889429,3320121,HDPE
1393395,2252763,3659235,1693893,2868345,HDPE
1011475,1666801,2856433,1232731,2168533,HDPE
