IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,Material_Type
526679,746903,1042303,1058923,427191,233111,164857,69393,Other
468229,838573,1386553,3047361,2345355,1555761,673987,370341,Other
74477,126423,153189,216743,150077,109327,132385,45519,Other
72249,135707,151919,187095,138897,128433,151813,64879,Other
-1,-1,-1,-1,-1,-1,-1,-1,Other
-20959,85687,112861,212783,165287,142855,133007,25607,Other
169045,351189,572375,1142615,948887,670945,408961,197063,Other
1335711,2710955,5076365,8386307,8386503,6609391,2719941,1603849,Other
620429,1320867,2566395,6839785,6337237,4850835,2217975,1350375,Other
1445627,2321865,3807097,5417487,4026379,994801,522773,296695,Other
263921,538137,843703,1823999,1508903,980619,559097,262849,Other
178529,362179,570079,1182511,1022571,706999,406635,192559,Other
1264073,2116383,3571177,6158527,6320723,3822217,1466751,934265,PP
1285357,2218001,3723925,6156367,6260009,3544491,1563187,894749,PP
1288505,2219001,3654761,5996243,6054479,3519259,1493789,892619,PP
1292379,2218601,3705427,6138777,6258061,3621203,1580679,892387,PP
1290415,2144667,3604933,6132173,6134325,3733625,1504153,988907,PP
1323865,2274851,3744251,6173215,6341501,3795571,1579815,958819,PP
1306377,2240745,3755117,6171639,6241363,3594241,1588817,907993,PP
1305085,2237593,3757039,6216061,6244073,3592067,1591947,912879,PP
1308385,2150967,3621389,6114753,6299959,3977951,1485879,924381,PP
1324085,2270561,3774125,6196923,6382719,3779891,1519985,924401,PP
1287961,2134887,3582365,6162443,6391799,3949237,1504753,949279,PP
1323565,2247273,3742329,6128257,6259043,3824265,1565883,951905,PP
1314081,2178133,3646291,6234689,6261457,3718325,1523783,932559,PP
1294251,2153339,3594095,6045547,6054295,3602971,1487853,908255,PP
1317915,2247917,3722105,6166785,6371263,3871865,1584587,1002387,PP
1285357,2199453,3628867,6014765,6218887,3708263,1519921,874147,PP
1326261,2250711,3708017,6036189,6121863,3686505,1562731,951411,PP
1252185,2068967,3450647,5985913,6143197,3949243,1480325,1024935,PP
1259225,2102131,3494889,6002897,6413991,4063761,1488577,1040867,PP
1297683,2139283,3544411,5882413,6106629,3894471,1530449,966765,PP
1296451,2145463,3547743,5935233,6228915,4000131,1528733,972623,PP
1309107,2226951,3669851,6046549,6149619,3648573,1527553,933109,PP
1277935,2108805,3514465,5807351,6004429,3685507,1487559,950515,PP
1304201,2165725,3574071,5926947,6172965,3760621,1539917,934893,PP
1312169,2165621,3595055,5932091,6072305,3875901,1546421,991229,PP
1302101,2157511,3597793,5917763,5972927,3667893,1534437,969637,PP
1327723,2275317,3756559,6216919,6285593,3761977,1519639,930365,PP
1282449,2110701,3539025,5954543,6071385,3775427,1468867,908669,PP
1290817,2118469,3525783,5929695,6024421,3695037,1470551,960105,PP
1312765,2227003,3699319,6101087,6149717,3661937,1488107,896209,PP
1315523,2228303,3723423,6163647,6231193,3699445,1526623,936277,PP
1297327,2130643,3572169,6003433,6177293,3745175,1541345,947841,PP
1351569,2305359,3831793,6309285,6479093,3919791,1614009,986857,PP
1288451,2118395,3542011,5963919,6328523,3803079,1502657,952621,PP
1272027,2109963,3520109,5988869,6149543,3677627,1474259,913799,PP
1261767,2090127,3464103,5872405,6203747,3840139,1509965,962607,PP
1305335,2212727,3670765,5964999,6075285,3567117,1520897,940535,PP
1270537,2148051,3581579,5953503,6288803,3871593,1542049,973065,PP
1295203,2139629,3573709,5965069,6130453,3732673,1534311,1008545,PP
1299217,2192907,3649993,6000639,6142331,3697441,1499913,942917,PP
1302451,2157143,3583847,5915713,6025341,3529305,1486767,968623,PP
1303821,2154501,3592287,5976111,6055687,3514993,1480155,928899,PP
1354811,2294931,3804419,6124897,6159949,3581363,1546573,929423,PP
1308803,2164975,3579701,6011029,6241569,3874353,1523843,996045,PP
1306327,2222813,3698781,6137437,6355639,3872083,1641297,973029,PP
1307687,2233801,3736541,6210035,6330607,3758915,1644415,966067,PP
1298669,2132891,3575465,5937099,6086577,3810517,1539501,1006775,PP
1303343,2145209,3587761,5928163,6143391,3934231,1561893,1023197,PP
1319759,2257477,3727541,6041139,6110995,3608413,1543395,924761,PP
1331309,2275163,3756037,6039419,6095477,3645921,1567839,956663,PP
1274211,2111413,3513253,6034385,6263907,3817603,1498889,906991,PP
1286441,2122661,3557359,5981233,6229153,4007061,1535419,1004143,PP
1288483,2117311,3511433,5813331,6036593,3802619,1539839,989801,PP
1302569,2127909,3569481,5988209,6138209,3812463,1503145,966571,PP
1306143,2209103,3723589,6165091,6268333,3725409,1603247,972041,PP
1289531,2120699,3534163,5957083,6107245,3670669,1437297,885947,PP
1345905,2286693,3824149,6221953,6314793,3771635,1582943,967633,PP
1291731,2177319,3624269,5957445,6170775,3767587,1552149,944349,PP
1297237,2143669,3599607,6004133,6056255,3646421,1493129,907111,PP
1262623,2150395,3598089,6047235,6233135,3953429,1573415,1030837,PP
1225857,2092457,3596499,6000665,6033523,3767839,1531823,1020133,PP
1113941,1910041,3208113,5614169,6167089,3879543,1406163,884931,PP
1254857,2213345,3672899,6109801,6195667,3768829,1551339,943035,PP
1291645,2281203,3786785,6305509,6522345,3856081,1617091,1006183,PP
1288709,2188175,3659145,6031059,6098301,3715685,1595431,1021083,PP
