IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_4,IR_Wavelength_5,IR_Wavelength_6,IR_Wavelength_7,IR_Wavelength_8,Material_Type
-1,-1,-1,-1,-1,-1,-239805,-209413,Other
-1,-1,-1,-1,-1,-1,-1,-1,Other
151517,283469,509949,1129495,935463,699129,321851,193121,Other
-1,-1,-1,-1,-1,-1,-1,-1,Other
46041,102313,147029,193557,141415,110075,125155,48597,Other
39801,115193,140557,200465,139263,102773,134581,37393,Other
-5219,90139,162847,228565,160689,142811,179499,73739,Other
465841,823997,1346725,2867587,2384205,1619099,687827,401011,Other
526679,746903,1042303,1058923,427191,233111,164857,69393,Other
468229,838573,1386553,3047361,2345355,1555761,673987,370341,Other
74477,126423,153189,216743,150077,109327,132385,45519,Other
72249,135707,151919,187095,138897,128433,151813,64879,Other
-1,-1,-1,-1,-1,-1,-1,-1,Other
-20959,85687,112861,212783,165287,142855,133007,25607,Other
169045,351189,572375,1142615,948887,670945,408961,197063,Other
1335711,2710955,5076365,8386307,8386503,6609391,2719941,1603849,Other
-1,-1,-1,-1,-1,-1,-1,-1,Other
620429,1320867,2566395,6839785,6337237,4850835,2217975,1350375,Other
1445627,2321865,3807097,5417487,4026379,994801,522773,296695,Other
263921,538137,843703,1823999,1508903,980619,559097,262849,Other
178529,362179,570079,1182511,1022571,706999,406635,192559,Other
1264073,2116383,3571177,6158527,6320723,3822217,1466751,934265,PP
1285357,2218001,3723925,6156367,6260009,3544491,1563187,894749,PP
1288505,2219001,3654761,5996243,6054479,3519259,1493789,892619,PP
1292379,2218601,3705427,6138777,6258061,3621203,1580679,892387,PP
1290415,2144667,3604933,6132173,6134325,3733625,1504153,988907,PP
1323865,2274851,3744251,6173215,6341501,3795571,1579815,958819,PP
1306377,2240745,3755117,6171639,6241363,3594241,1588817,907993,PP
1305085,2237593,3757039,6216061,6244073,3592067,1591947,912879,PP
1308385,2150967,3621389,6114753,6299959,3977951,1485879,924381,PP
1324085,2270561,3774125,6196923,6382719,3779891,1519985,924401,PP
1287961,2134887,3582365,6162443,6391799,3949237,1504753,949279,PP
1323565,2247273,3742329,6128257,6259043,3824265,1565883,951905,PP
1314081,2178133,3646291,6234689,6261457,3718325,1523783,932559,PP
1294251,2153339,3594095,6045547,6054295,3602971,1487853,908255,PP
1317915,2247917,3722105,6166785,6371263,3871865,1584587,1002387,PP
1285357,2199453,3628867,6014765,6218887,3708263,1519921,874147,PP
1326261,2250711,3708017,6036189,6121863,3686505,1562731,951411,PP
1252185,2068967,3450647,5985913,6143197,3949243,1480325,1024935,PP
1259225,2102131,3494889,6002897,6413991,4063761,1488577,1040867,PP
1297683,2139283,3544411,5882413,6106629,3894471,1530449,966765,PP
1296451,2145463,3547743,5935233,6228915,4000131,1528733,972623,PP
1309107,2226951,3669851,6046549,6149619,3648573,1527553,933109,PP
