IR_Wavelength_1,IR_Wavelength_2,IR_Wavelength_3,IR_Wavelength_9,IR_Wavelength_10,Material_Type
1429155,2330005,3381571,1779149,2774153,Rec
1278033,2067753,2953085,1584949,2438973,Rec
744951,1285003,1904577,961603,1550731,Rec
749409,1276169,1789831,960645,1493033,Rec
799245,1379843,2076019,1032259,1678107,Rec
878883,1574355,2618413,1158883,2028935,Rec
818439,1433457,2272735,1068451,1806119,Rec
811891,1440549,2427679,1068153,1887059,Rec
689947,1169709,1953855,851673,1552693,Rec
762403,1351585,2194553,956937,1670071,Rec
847343,1479223,2321571,1004309,1740685,Rec
1261739,1997557,3092545,1544239,2477437,Rec
1641801,2632973,4232431,2023569,3338897,Rec
1466325,2378991,3779181,1820717,2996417,Rec
1283945,2099567,3479045,1650803,2739481,Rec
1168545,1854709,3163995,1392551,2404321,Rec
1464485,2340623,3888831,1801057,3032795,Rec
1230827,1964395,2722549,1511139,2272277,Rec
1216923,1931439,2826605,1488931,2315245,Rec
1357155,2205773,3198933,1687239,2626973,Rec
1121317,1780945,2453841,1366097,2067599,Rec
1276901,2031185,2943571,1567083,2416175,Rec
1325649,2154489,3425471,1614365,2657251,Rec
1511073,2496963,3906911,1899213,3114205,Rec
1314407,2198863,3371219,1668251,2707879,Rec
1218425,1962633,3021145,1497673,2421961,Rec
1320265,2198239,3561845,1667253,2803227,Rec
1016359,1656933,2724449,1313961,2257055,Rec
1322809,2138165,3084405,1621277,2526501,Rec
1435767,2307559,3366377,1771393,2761279,Rec
1521579,2541163,3899393,1926203,3136447,Rec
1385479,2337921,3690065,1724649,2843037,Rec
1919937,3237709,4876839,2457847,3961125,Rec
1860199,3161205,4757685,2377033,3855763,Rec
1858329,3151823,4746739,2374825,3841925,Rec
2122855,3601447,5582603,2715207,4471643,Rec
1989041,3391111,5219109,2544279,4186025,Rec
1851669,3117529,4799941,2332629,3896495,Rec
1964497,3350743,5160527,2520409,4146061,Rec
1830725,2928249,4422529,2242113,3564711,Rec
2055837,3406191,5404801,2593369,4293671,Rec
1702351,2772853,4551301,2138829,3574005,Rec
1931541,3216237,5007725,2441151,4002555,Rec
1919597,3194621,4978091,2422125,3975345,Rec
1739567,2871711,4187499,2187069,3442243,Rec
1748543,2849331,4164721,2168819,3408315,Rec
1888403,3081819,4714879,2353655,3790565,Rec
725545,1287371,2023827,964029,1622591,Rec
748573,1317165,2039277,984447,1656969,Rec
780713,1360431,2193423,1016487,1732729,Rec
859465,1403387,2433941,1069797,1871573,Rec
385831,731195,1225223,532049,979769,Rec
645589,1186977,1817675,866309,1465941,Rec
986517,1852125,3481919,1346795,2591031,Rec
765545,1335507,2448203,1022261,1881797,Rec
887215,1656059,2830657,1208087,2189257,Rec
783597,1498719,2888413,1105083,2042107,Rec
867353,1585531,3052523,1161335,2262413,Rec
686649,1222523,2209391,929993,1725151,Rec
710539,1313995,2087935,940287,1632527,Rec
716009,1242693,2071651,926217,1610407,Rec
806835,1588015,2631965,1154555,1971865,Rec
1597349,2532175,3613123,1947379,2983439,Rec
1576165,2540699,4036413,1949403,3209461,Rec
1613143,2614795,3961973,2007149,3202183,Rec
1931809,3130885,5080829,2408735,4008905,Rec
1669745,2654467,4454275,2222997,3854245,Rec
1756759,2902725,4675195,2204439,3689587,Rec
1733615,2851903,4660801,2178221,3657579,Rec
1538647,2533901,4151045,1940869,3325819,Rec
1918779,3286473,4915705,2466613,3989479,Rec
1911867,3292087,4942335,2465523,4003935,Rec
1940475,3301019,5004363,2485333,4046681,Rec
1936243,3272479,3801743,2457271,3827671,Rec
1994071,3433215,5269703,2568475,4230177,Rec
2128561,3732515,5846509,2776515,4663445,Rec
1788703,3018987,4704267,2300175,3885605,Rec
2032557,3560099,5565111,2649953,4443935,Rec
1746431,3036495,4868307,2314663,3973509,Rec
2014037,3512663,5478331,2618031,4373909,Rec
1875857,3362357,5334519,2522511,4216473,Rec
1942535,3325223,5083341,2491057,4088573,Rec
1109785,1703231,2559851,1343011,2072711,Rec
1067629,1650695,2747603,1285231,1998849,Rec
1047233,1502845,2058245,1221657,1748525,Rec
1237585,1667417,1669501,1330159,1339485,Rec
1529091,2446355,3872743,1883609,3078773,Rec
1260419,1997971,3248233,1581437,2667413,Rec
1342335,2157783,3339175,1659505,2670771,Rec
1329641,2095199,3167493,1519807,2464495,Rec
1318403,2084343,3335277,1613211,2637067,Rec
